#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
3069,Today Is In My Way,LDS,7,29,2,6,6.9%,20.7%," 24,355 "," 10,903 ","-13,452 ",-0.55 ,0
3070,Hammering Harambe,RDF,31,377,31,108,8.2%,28.6%," 638,045 "," 285,311 ","-352,734 ",-0.55 ,1
3071,Maslow,LTS,6,37,2,12,5.4%,32.4%," 38,405 "," 17,169 ","-21,236 ",-0.55 ,0
3072,Dynamic Burgundy,LDF,5,41,3,12,7.3%,29.3%," 40,130 "," 17,939 ","-22,191 ",-0.55 ,0
3073,Run Macachee,RTS,6,44,3,15,6.8%,34.1%," 38,835 "," 17,352 ","-21,483 ",-0.55 ,0
3074,Dylan,RTF,5,31,1,10,3.2%,32.3%," 18,475 "," 8,246 ","-10,229 ",-0.55 ,0
3075,Arion,LDF,7,82,6,24,7.3%,29.3%," 59,735 "," 26,652 ","-33,083 ",-0.55 ,0
3076,Star Lord,RDF,8,156,9,38,5.8%,24.4%," 241,377 "," 107,682 ","-133,695 ",-0.55 ,0
3077,Dr. Ambition,RTS,6,28,3,9,10.7%,32.1%," 28,730 "," 12,808 ","-15,922 ",-0.55 ,0
3078,Blue Milk,LDS,6,21,1,7,4.8%,33.3%," 10,160 "," 4,526 ","-5,634 ",-0.55 ,0
3079,Ryno,RTF,6,62,4,20,6.5%,32.3%," 27,904 "," 12,426 ","-15,478 ",-0.55 ,0
3080,Forged In Fire,LDS,9,77,6,27,7.8%,35.1%," 60,795 "," 27,068 ","-33,727 ",-0.55 ,0
3081,Mechanix,RTF,11,44,3,14,6.8%,31.8%," 31,130 "," 13,852 ","-17,278 ",-0.56 ,0
3082,Send A Raven,LDS,6,32,5,11,15.6%,34.4%," 28,020 "," 12,462 ","-15,558 ",-0.56 ,0
3083,Trabucco,RDF,16,797,59,192,7.4%,24.1%," 2,209,250 "," 982,309 ","-1,226,941 ",-0.56 ,1
3084,Merlin,RTF,6,78,2,22,2.6%,28.2%," 71,415 "," 31,703 ","-39,712 ",-0.56 ,0
3085,Ramblin' Castle,#N/A,7,61,5,13,8.2%,21.3%," 68,030 "," 30,190 ","-37,840 ",-0.56 ,0
3086,Rocky Balboa,LDS,12,40,2,13,5.0%,32.5%," 24,855 "," 11,025 ","-13,830 ",-0.56 ,0
3087,White Bronco,LDF,8,40,2,6,5.0%,15.0%," 53,825 "," 23,863 ","-29,962 ",-0.56 ,0
3088,He's Electric,RTS,10,44,3,10,6.8%,22.7%," 51,563 "," 22,855 ","-28,708 ",-0.56 ,0
3089,Hide The Bottles,LDF,13,45,4,18,8.9%,40.0%," 36,360 "," 16,095 ","-20,265 ",-0.56 ,0
3090,Lunar Rock,RTS,5,35,1,13,2.9%,37.1%," 20,475 "," 9,056 ","-11,419 ",-0.56 ,0
3091,General Mayhem,RTF,23,80,5,21,6.3%,26.3%," 100,700 "," 44,525 ","-56,175 ",-0.56 ,0
3092,Jonjon,LDS,6,25,3,8,12.0%,32.0%," 24,270 "," 10,713 ","-13,557 ",-0.56 ,0
3093,Urban Legend,LDF,5,39,2,12,5.1%,30.8%," 34,865 "," 15,369 ","-19,496 ",-0.56 ,0
3094,Silmarillion,LTF,7,44,4,13,9.1%,29.5%," 29,475 "," 12,985 ","-16,490 ",-0.56 ,0
3095,Betta Than You Think,LTS,48,264,21,70,8.0%,26.5%," 274,780 "," 121,047 ","-153,733 ",-0.56 ,0
3096,Crapshoot,RDF,10,123,5,26,4.1%,21.1%," 197,403 "," 86,944 ","-110,459 ",-0.56 ,0
3097,Peloton,LDF,9,167,12,67,7.2%,40.1%," 174,968 "," 77,050 ","-97,918 ",-0.56 ,0
3098,Skywalker OG,RDF,9,203,15,60,7.4%,29.6%," 372,835 "," 164,128 ","-208,707 ",-0.56 ,0
3099,Bourbon,RTF,23,1223,104,415,8.5%,33.9%," 3,076,420 "," 1,353,910 ","-1,722,510 ",-0.56 ,1
3100,Free Reign,LDS,5,15,1,4,6.7%,26.7%," 6,980 "," 3,070 ","-3,910 ",-0.56 ,0
3101,Tried Everything,RTF,9,34,1,7,2.9%,20.6%," 30,600 "," 13,456 ","-17,144 ",-0.56 ,0
3102,Sea Boss,RTF,19,128,9,35,7.0%,27.3%," 140,575 "," 61,811 ","-78,764 ",-0.56 ,0
3103,Moirai,RDS,5,29,3,9,10.3%,31.0%," 18,150 "," 7,977 ","-10,173 ",-0.56 ,0
3104,Sully,RTS,43,761,49,199,6.4%,26.1%," 1,376,747 "," 605,072 ","-771,675 ",-0.56 ,0
3105,Jo White,RTS,22,172,16,60,9.3%,34.9%," 80,135 "," 35,172 ","-44,963 ",-0.56 ,0
3106,Éirí Amach na Cásca,RTF,22,109,3,34,2.8%,31.2%," 61,165 "," 26,757 ","-34,408 ",-0.56 ,0
3107,Dodger Blue,RDF,58,322,19,72,5.9%,22.4%," 383,155 "," 167,344 ","-215,811 ",-0.56 ,0
3108,Shallow Grave,RDF,5,22,1,5,4.5%,22.7%," 27,770 "," 12,112 ","-15,658 ",-0.56 ,0
3109,Cyrus,RDF,12,115,11,37,9.6%,32.2%," 104,675 "," 45,647 ","-59,028 ",-0.56 ,0
3110,Son of a Chump,RTF,20,93,3,22,3.2%,23.7%," 157,155 "," 68,521 ","-88,634 ",-0.56 ,0
3111,Johnny Law,RTF,13,63,6,22,9.5%,34.9%," 51,985 "," 22,629 ","-29,356 ",-0.56 ,0
3112,Left Behind,LTF,8,16,3,4,18.8%,25.0%," 7,540 "," 3,280 ","-4,260 ",-0.57 ,0
3113,Darkstar,LDF,83,498,31,124,6.2%,24.9%," 481,035 "," 209,113 ","-271,922 ",-0.57 ,1
