#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
46,The Tribal Chief,LDS,6,51,11,26,21.6%,51.0%," 90,695 "," 125,473 "," 34,778 ", 0.38 ,0
47,Red Planet,LTS,14,154,38,89,24.7%,57.8%," 112,230 "," 154,803 "," 42,573 ", 0.38 ,0
48,Aelius,LDF,9,16,3,6,18.8%,37.5%," 11,620 "," 16,021 "," 4,401 ", 0.38 ,0
49,Aristotle's Ass,RDF,5,87,23,44,26.4%,50.6%," 175,260 "," 241,075 "," 65,815 ", 0.38 ,0
50,You Don't Know Bo,RTF,13,41,10,21,24.4%,51.2%," 45,795 "," 62,852 "," 17,057 ", 0.37 ,0
51,Léon,LTS,7,54,9,33,16.7%,61.1%," 21,035 "," 28,794 "," 7,759 ", 0.37 ,0
52,Manifest,RTF,14,247,48,139,19.4%,56.3%," 262,330 "," 353,958 "," 91,628 ", 0.35 ,0
53,Han Jabba,LDS,9,106,26,66,24.5%,62.3%," 75,720 "," 102,116 "," 26,396 ", 0.35 ,0
54,Rings Of Ruby,LTS,9,174,37,86,21.3%,49.4%," 265,390 "," 356,049 "," 90,659 ", 0.34 ,0
55,Lost In A Claimer,LTS,13,109,17,50,15.6%,45.9%," 99,850 "," 133,732 "," 33,882 ", 0.34 ,0
56,Troubadour,RTF,10,106,22,57,20.8%,53.8%," 113,185 "," 151,487 "," 38,302 ", 0.34 ,0
57,Camaron,LDF,7,83,23,51,27.7%,61.4%," 123,570 "," 165,044 "," 41,474 ", 0.34 ,0
58,Usurper,LTS,13,208,48,111,23.1%,53.4%," 642,135 "," 853,654 "," 211,519 ", 0.33 ,11
59,Black Thunder,RDF,5,21,6,12,28.6%,57.1%," 28,570 "," 37,960 "," 9,390 ", 0.33 ,0
60,Space Negrutin,LTS,131,1972,346,932,17.5%,47.3%," 4,316,955 "," 5,723,441 "," 1,406,486 ", 0.33 ,63
61,Hoofing Around,RDS,10,169,50,110,29.6%,65.1%," 116,615 "," 154,305 "," 37,690 ", 0.32 ,0
62,Dehydrated,RDF,5,28,4,12,14.3%,42.9%," 7,980 "," 10,548 "," 2,568 ", 0.32 ,0
63,Earl,RTF,17,103,22,53,21.4%,51.5%," 78,895 "," 104,269 "," 25,374 ", 0.32 ,0
64,Moondance,RDS,7,122,28,70,23.0%,57.4%," 113,190 "," 149,426 "," 36,236 ", 0.32 ,0
65,Ichabod,LDF,5,75,16,34,21.3%,45.3%," 59,970 "," 79,092 "," 19,122 ", 0.32 ,0
66,Charley Bear,LDF,13,108,19,43,17.6%,39.8%," 75,240 "," 99,230 "," 23,990 ", 0.32 ,0
67,Dark Side of le Mewn,RDF,5,28,8,16,28.6%,57.1%," 38,215 "," 50,181 "," 11,966 ", 0.31 ,0
68,Prince Of Power,RDF,107,1523,212,656,13.9%,43.1%," 2,779,236 "," 3,645,936 "," 866,700 ", 0.31 ,17
69,Better Orangina,RTF,8,66,14,36,21.2%,54.5%," 59,365 "," 77,433 "," 18,068 ", 0.30 ,0
70,Mesa,LDF,19,256,63,146,24.6%,57.0%," 204,899 "," 267,204 "," 62,305 ", 0.30 ,0
71,Alamsar,RTF,8,76,19,41,25.0%,53.9%," 94,055 "," 122,648 "," 28,593 ", 0.30 ,0
72,Abernant,LTS,8,41,6,19,14.6%,46.3%," 37,655 "," 48,964 "," 11,309 ", 0.30 ,0
73,O Man,LTS,13,202,52,123,25.7%,60.9%," 137,625 "," 178,618 "," 40,993 ", 0.30 ,0
74,Thug Passion ,LDF,234,3800,550,1558,14.5%,41.0%," 9,430,159 "," 12,230,529 "," 2,800,370 ", 0.30 ,116
75,Lussi's Wooden Rose,LDF,57,896,132,366,14.7%,40.8%," 2,033,645 "," 2,636,522 "," 602,877 ", 0.30 ,19
76,Lodernder Ludwig,LTS,14,117,24,51,20.5%,43.6%," 90,665 "," 117,343 "," 26,678 ", 0.29 ,0
77,Summer Ship,LDF,6,25,4,11,16.0%,44.0%," 12,230 "," 15,824 "," 3,594 ", 0.29 ,0
78,Doc Brown,LTS,81,788,132,371,16.8%,47.1%," 1,309,470 "," 1,692,365 "," 382,895 ", 0.29 ,7
79,Maximum Leverage,RTS,31,317,64,164,20.2%,51.7%," 537,675 "," 693,884 "," 156,209 ", 0.29 ,2
80,Magic Johnsons,RTF,10,148,30,79,20.3%,53.4%," 128,255 "," 165,492 "," 37,237 ", 0.29 ,0
81,Buachaill Álainn,RDF,15,307,64,167,20.8%,54.4%," 206,848 "," 266,846 "," 59,998 ", 0.29 ,0
82,Pavel Senior,RDF,15,230,45,125,19.6%,54.3%," 157,146 "," 202,672 "," 45,527 ", 0.29 ,0
83,Benedict,RDF,203,5503,901,2355,16.4%,42.8%," 27,947,726 "," 36,003,708 "," 8,055,982 ", 0.29 ,373
84,Narayan,LTS,84,753,107,327,14.2%,43.4%," 1,333,630 "," 1,712,231 "," 378,601 ", 0.28 ,10
85,He's the Boss,RTF,66,779,140,350,18.0%,44.9%," 1,949,900 "," 2,487,211 "," 537,311 ", 0.28 ,18
86,Flegmon,RTF,6,104,24,50,23.1%,48.1%," 109,240 "," 138,400 "," 29,160 ", 0.27 ,0
87,CrownShaun,LDF,37,630,130,339,20.6%,53.8%," 554,780 "," 702,635 "," 147,855 ", 0.27 ,0
88,Thistlecrack,LDS,19,275,39,149,14.2%,54.2%," 599,875 "," 759,148 "," 159,273 ", 0.27 ,3
89,Anyone's Ghost,LDF,12,151,33,84,21.9%,55.6%," 162,415 "," 204,896 "," 42,481 ", 0.26 ,0
90,Prime Time,RDF,252,6077,1085,2840,17.9%,46.7%," 22,679,623 "," 28,584,540 "," 5,904,917 ", 0.26 ,324
91,Mesmerize,RTF,8,122,16,47,13.1%,38.5%," 372,995 "," 469,804 "," 96,809 ", 0.26 ,1
92,Angelic,LDS,54,626,145,345,23.2%,55.1%," 689,910 "," 868,016 "," 178,106 ", 0.26 ,0
93,Astronaut,LDF,116,1151,209,518,18.2%,45.0%," 2,123,975 "," 2,665,948 "," 541,973 ", 0.26 ,7
94,Berry White,RDF,17,523,89,254,17.0%,48.6%," 1,541,605 "," 1,931,719 "," 390,114 ", 0.25 ,4
95,Saguaro,RDF,29,451,79,185,17.5%,41.0%," 1,127,825 "," 1,410,167 "," 282,342 ", 0.25 ,13
96,SE7EN,LDS,6,57,12,35,21.1%,61.4%," 34,100 "," 42,631 "," 8,531 ", 0.25 ,0
97,Morpheus,LTS,187,4437,847,2230,19.1%,50.3%," 18,091,477 "," 22,600,926 "," 4,509,449 ", 0.25 ,313
98,Lamport,RDF,8,70,13,27,18.6%,38.6%," 41,955 "," 52,389 "," 10,434 ", 0.25 ,0
99,Lucky Abomination,RTF,19,187,32,90,17.1%,48.1%," 174,135 "," 216,458 "," 42,323 ", 0.24 ,0
100,Godrick,RDS,6,92,25,58,27.2%,63.0%," 97,045 "," 120,550 "," 23,505 ", 0.24 ,0
101,Cherokee Go Go,LDF,7,51,6,23,11.8%,45.1%," 41,900 "," 52,017 "," 10,117 ", 0.24 ,0
102,Wild Bill,RDF,7,169,44,94,26.0%,55.6%," 167,943 "," 208,233 "," 40,290 ", 0.24 ,0
103,Super Zion,LDF,137,2261,342,957,15.1%,42.3%," 3,702,273 "," 4,587,700 "," 885,427 ", 0.24 ,18
104,Art on Sol,RTF,9,106,18,47,17.0%,44.3%," 139,585 "," 172,755 "," 33,170 ", 0.24 ,0
105,First Round Axis,RTS,6,18,6,9,33.3%,50.0%," 12,200 "," 15,084 "," 2,884 ", 0.24 ,0
106,AquaEggclipse,LTS,330,8716,1629,4239,18.7%,48.6%," 31,642,742 "," 39,082,232 "," 7,439,490 ", 0.24 ,476
107,Animal Cookies,LDF,7,153,30,73,19.6%,47.7%," 311,515 "," 384,243 "," 72,728 ", 0.23 ,1
108,Dashing Dalmatian,LDS,12,234,50,109,21.4%,46.6%," 374,865 "," 460,940 "," 86,075 ", 0.23 ,0
109,Primal God,RTF,7,45,5,19,11.1%,42.2%," 42,020 "," 51,646 "," 9,626 ", 0.23 ,0
110,LB Skybreaker,LDF,10,55,11,30,20.0%,54.5%," 73,995 "," 90,944 "," 16,949 ", 0.23 ,0
111,Psionic Storm,LDS,8,51,9,28,17.6%,54.9%," 65,510 "," 80,379 "," 14,869 ", 0.23 ,0
112,Aqua Pura,LTS,100,1149,187,530,16.3%,46.1%," 1,890,031 "," 2,318,895 "," 428,864 ", 0.23 ,5
113,Acquired Target,RTF,15,85,16,38,18.8%,44.7%," 131,705 "," 161,561 "," 29,856 ", 0.23 ,0
114,Qatar,RTF,5,91,20,55,22.0%,60.4%," 46,555 "," 57,051 "," 10,496 ", 0.23 ,0
115,Money Shot,RTS,23,464,90,238,19.4%,51.3%," 1,158,690 "," 1,419,534 "," 260,844 ", 0.23 ,9
116,Headquarters ,LDF,6,73,12,38,16.4%,52.1%," 69,665 "," 85,117 "," 15,452 ", 0.22 ,0
117,Last Knight,LDS,80,785,90,298,11.5%,38.0%," 1,787,350 "," 2,182,822 "," 395,472 ", 0.22 ,9
118,Flask Restless,LTS,39,348,66,165,19.0%,47.4%," 517,775 "," 631,725 "," 113,950 ", 0.22 ,2
119,Arbitrage,LDF,9,83,8,30,9.6%,36.1%," 141,160 "," 172,202 "," 31,042 ", 0.22 ,0
120,Paprika Pap,LDF,5,55,13,29,23.6%,52.7%," 83,345 "," 101,476 "," 18,131 ", 0.22 ,1
121,Nogay Rags,RDS,19,140,37,86,26.4%,61.4%," 133,450 "," 162,146 "," 28,696 ", 0.22 ,0
122,Melichloro,RTS,7,120,28,62,23.3%,51.7%," 131,275 "," 159,253 "," 27,978 ", 0.21 ,0
123,Hakanai,LTS,18,287,80,175,27.9%,61.0%," 247,980 "," 300,446 "," 52,466 ", 0.21 ,0
124,Papi,RDF,6,29,5,12,17.2%,41.4%," 14,920 "," 18,055 "," 3,135 ", 0.21 ,0
125,One Eye Park,LDF,5,49,11,30,22.4%,61.2%," 30,235 "," 36,552 "," 6,317 ", 0.21 ,0
126,No Limit,RTF,148,1845,255,726,13.8%,39.3%," 3,687,645 "," 4,451,473 "," 763,828 ", 0.21 ,17
127,Encierro,RTF,17,280,45,122,16.1%,43.6%," 439,900 "," 528,506 "," 88,606 ", 0.20 ,0
128,Durban Poison,RTF,95,2512,396,1082,15.8%,43.1%," 11,824,380 "," 14,199,769 "," 2,375,389 ", 0.20 ,176
129,Dupre Crunch,LTS,6,34,8,18,23.5%,52.9%," 23,326 "," 27,990 "," 4,664 ", 0.20 ,0
130,Prince Sentience,RTF,15,176,27,78,15.3%,44.3%," 147,540 "," 176,979 "," 29,439 ", 0.20 ,0
131,Tusk,RDF,16,279,37,109,13.3%,39.1%," 647,720 "," 776,523 "," 128,803 ", 0.20 ,1
132,Funny Looking Frank,RTF,10,265,55,124,20.8%,46.8%," 267,060 "," 319,977 "," 52,917 ", 0.20 ,0
133,Missile,LDS,6,64,16,39,25.0%,60.9%," 92,810 "," 111,188 "," 18,378 ", 0.20 ,0
134,Rose of Zion,LDF,292,7162,1114,3002,15.6%,41.9%," 27,021,343 "," 32,367,326 "," 5,345,983 ", 0.20 ,336
135,Neptune is Richer,RDS,13,170,46,105,27.1%,61.8%," 140,425 "," 168,147 "," 27,722 ", 0.20 ,0
136,Casino,LDF,163,3346,484,1373,14.5%,41.0%," 10,141,294 "," 12,132,541 "," 1,991,247 ", 0.20 ,96
137,Fat Cat,LDS,23,157,39,98,24.8%,62.4%," 245,020 "," 293,058 "," 48,038 ", 0.20 ,0
138,360WIN Really a 10,LDS,11,140,32,77,22.9%,55.0%," 190,678 "," 228,053 "," 37,376 ", 0.20 ,0
139,Baja,RTF,7,64,9,31,14.1%,48.4%," 72,225 "," 86,280 "," 14,055 ", 0.19 ,0
140,Explicit,RDF,42,401,99,230,24.7%,57.4%," 388,015 "," 463,405 "," 75,390 ", 0.19 ,0
141,Gilmore,RDF,6,139,25,74,18.0%,53.2%," 154,260 "," 184,172 "," 29,912 ", 0.19 ,0
142,Lord Strange Origin,LDS,6,76,14,43,18.4%,56.6%," 54,810 "," 65,426 "," 10,616 ", 0.19 ,0
143,Smiles,LDS,7,52,5,21,9.6%,40.4%," 26,010 "," 30,962 "," 4,952 ", 0.19 ,0
144,Volcano,RTS,6,137,25,70,18.2%,51.1%," 93,210 "," 110,892 "," 17,682 ", 0.19 ,0
145,Perfect Cell,LTS,50,684,128,366,18.7%,53.5%," 1,148,427 "," 1,364,965 "," 216,538 ", 0.19 ,7
146,Well off Sol,RTF,13,168,26,84,15.5%,50.0%," 280,855 "," 333,750 "," 52,895 ", 0.19 ,1
147,Eye Scream,LDF,5,34,6,19,17.6%,55.9%," 20,660 "," 24,546 "," 3,886 ", 0.19 ,0
148,Bigotes,RDS,8,84,21,52,25.0%,61.9%," 39,980 "," 47,483 "," 7,503 ", 0.19 ,0
149,Uranus Now,LTS,7,71,15,35,21.1%,49.3%," 78,805 "," 93,581 "," 14,776 ", 0.19 ,0
150,Stylish Stud #9925,#N/A,23,1194,300,768,25.1%,64.3%," 4,962,327 "," 5,878,977 "," 916,650 ", 0.18 ,198
151,Don't Fix It,LTS,72,557,108,281,19.4%,50.4%," 922,445 "," 1,090,475 "," 168,030 ", 0.18 ,3
152,Silver Champagne,RTS,5,33,8,22,24.2%,66.7%," 24,265 "," 28,643 "," 4,378 ", 0.18 ,0
153,Jumanji,LDS,26,151,28,67,18.5%,44.4%," 167,225 "," 197,348 "," 30,123 ", 0.18 ,0
154,Ma Yun,LDF,6,56,9,33,16.1%,58.9%," 57,675 "," 68,013 "," 10,338 ", 0.18 ,0
155,Nephalem,LDS,32,473,91,227,19.2%,48.0%," 792,080 "," 933,116 "," 141,036 ", 0.18 ,6
156,Plum Trigger,RTS,18,153,34,77,22.2%,50.3%," 109,950 "," 129,513 "," 19,563 ", 0.18 ,0
157,Major Rivers,LDS,31,651,100,258,15.4%,39.6%," 1,233,120 "," 1,452,367 "," 219,247 ", 0.18 ,1
158,Metamorphosis,RTF,15,114,23,54,20.2%,47.4%," 145,635 "," 171,509 "," 25,874 ", 0.18 ,0
159,Dennis The Menace,RDF,5,60,12,34,20.0%,56.7%," 55,575 "," 65,387 "," 9,812 ", 0.18 ,0
160,Mars,LTS,361,5618,1003,2694,17.9%,48.0%," 16,531,143 "," 19,393,266 "," 2,862,123 ", 0.17 ,179
161,Beregost,LTS,139,3280,538,1495,16.4%,45.6%," 9,746,389 "," 11,425,250 "," 1,678,861 ", 0.17 ,136
162,Morning Light,RTS,211,2816,458,1278,16.3%,45.4%," 8,303,591 "," 9,721,609 "," 1,418,018 ", 0.17 ,100
163,Stylish Stud #5284,#N/A,5,151,29,69,19.2%,45.7%," 227,155 "," 265,861 "," 38,707 ", 0.17 ,0
164,Azka,RTF,9,149,34,69,22.8%,46.3%," 187,000 "," 218,486 "," 31,486 ", 0.17 ,0
165,Tommy Tomb,RTS,5,27,5,13,18.5%,48.1%," 22,875 "," 26,694 "," 3,819 ", 0.17 ,0
166,Tokala,LDS,8,106,20,63,18.9%,59.4%," 100,940 "," 117,697 "," 16,757 ", 0.17 ,0
167,Artcore,LDF,9,93,13,33,14.0%,35.5%," 115,155 "," 134,265 "," 19,110 ", 0.17 ,0
168,nocap,RDF,5,57,8,28,14.0%,49.1%," 44,295 "," 51,509 "," 7,214 ", 0.16 ,0
169,Even Flow,LDF,5,70,16,35,22.9%,50.0%," 55,280 "," 64,260 "," 8,980 ", 0.16 ,0
170,Stimmy Timmy,RTF,53,546,73,208,13.4%,38.1%," 1,249,945 "," 1,452,147 "," 202,202 ", 0.16 ,3
171,ZZAN,RDF,18,202,40,98,19.8%,48.5%," 165,270 "," 191,924 "," 26,654 ", 0.16 ,0
172,Jungle Cake,RTF,5,121,21,62,17.4%,51.2%," 173,500 "," 201,475 "," 27,975 ", 0.16 ,0
173,Shoot to Thrill,RTF,5,35,5,17,14.3%,48.6%," 27,950 "," 32,372 "," 4,422 ", 0.16 ,0
174,Ethereum Neptunia,RTF,5,139,29,72,20.9%,51.8%," 114,245 "," 132,198 "," 17,953 ", 0.16 ,0
175,Wonderfull Kid,RDF,16,158,27,73,17.1%,46.2%," 141,414 "," 163,373 "," 21,959 ", 0.16 ,0
176,Mr Bronx,RTS,8,109,21,53,19.3%,48.6%," 105,575 "," 121,883 "," 16,308 ", 0.15 ,0
177,Petrichor,LDS,132,1890,347,892,18.4%,47.2%," 4,222,990 "," 4,873,114 "," 650,124 ", 0.15 ,13
178,The Colonel,RDF,60,895,148,396,16.5%,44.2%," 2,113,973 "," 2,438,322 "," 324,349 ", 0.15 ,19
179,Castle Black,RTF,5,47,9,31,19.1%,66.0%," 44,000 "," 50,738 "," 6,738 ", 0.15 ,0
180,Pluto,LTS,312,4932,891,2439,18.1%,49.5%," 15,181,455 "," 17,494,002 "," 2,312,547 ", 0.15 ,192
181,Abominable Snowman,RTF,238,3747,622,1664,16.6%,44.4%," 9,293,591 "," 10,695,217 "," 1,401,626 ", 0.15 ,84
182,Just Call Me Bob,LDF,34,223,41,109,18.4%,48.9%," 256,615 "," 294,818 "," 38,203 ", 0.15 ,0
183,Arctic Freedom,RTS,13,313,76,186,24.3%,59.4%," 260,240 "," 298,798 "," 38,558 ", 0.15 ,0
184,Swift Heart Bay,LDF,10,43,11,23,25.6%,53.5%," 37,970 "," 43,590 "," 5,620 ", 0.15 ,0
185,Toxic Filth,RTF,6,100,19,52,19.0%,52.0%," 76,110 "," 87,172 "," 11,062 ", 0.15 ,0
186,Elektrolyte,LTS,6,70,10,35,14.3%,50.0%," 131,225 "," 150,098 "," 18,873 ", 0.14 ,0
187,Engine,RTF,12,173,30,71,17.3%,41.0%," 243,885 "," 278,843 "," 34,958 ", 0.14 ,0
188,Midnight Rose,LDF,183,2906,393,1129,13.5%,38.9%," 7,359,823 "," 8,411,933 "," 1,052,110 ", 0.14 ,81
189,UsainColt,LDS,52,1077,189,487,17.5%,45.2%," 1,714,694 "," 1,959,397 "," 244,703 ", 0.14 ,0
190,Quiet Confidence,LDF,61,915,156,426,17.0%,46.6%," 1,734,480 "," 1,981,989 "," 247,509 ", 0.14 ,8
191,Icon Ian Cummings,RTF,15,112,21,48,18.8%,42.9%," 110,385 "," 126,068 "," 15,683 ", 0.14 ,0
192,Vladivostok,RTS,111,1871,376,932,20.1%,49.8%," 3,166,422 "," 3,613,601 "," 447,179 ", 0.14 ,7
193,Ridin' SLAB,RDF,7,48,9,20,18.8%,41.7%," 140,040 "," 159,713 "," 19,673 ", 0.14 ,2
194,Secret Places,RTF,184,1811,217,638,12.0%,35.2%," 2,564,273 "," 2,922,854 "," 358,581 ", 0.14 ,20
195,Munch,RDF,7,85,10,42,11.8%,49.4%," 77,465 "," 88,294 "," 10,829 ", 0.14 ,0
196,Ride the Lightning,RDF,42,923,150,410,16.3%,44.4%," 3,299,740 "," 3,758,797 "," 459,057 ", 0.14 ,32
197,Oski's Part,RTF,7,36,8,16,22.2%,44.4%," 29,015 "," 33,042 "," 4,027 ", 0.14 ,0
198,McFrosty,RTF,54,445,78,228,17.5%,51.2%," 477,286 "," 543,490 "," 66,204 ", 0.14 ,0
199,Ajax,LTS,98,2827,502,1394,17.8%,49.3%," 7,694,660 "," 8,758,232 "," 1,063,572 ", 0.14 ,69
200,War Time,RDF,12,102,12,39,11.8%,38.2%," 99,395 "," 113,123 "," 13,728 ", 0.14 ,0
201,Perfectum,RDF,13,194,36,89,18.6%,45.9%," 241,635 "," 274,828 "," 33,193 ", 0.14 ,0
202,To Live Is to Die,RDF,7,70,10,25,14.3%,35.7%," 143,350 "," 162,964 "," 19,614 ", 0.14 ,3
203,Kan Kan Pork Chop ,LTS,91,1491,217,640,14.6%,42.9%," 3,604,538 "," 4,097,220 "," 492,682 ", 0.14 ,47
204,Steezy Mcclain,LDF,33,340,62,173,18.2%,50.9%," 249,682 "," 283,796 "," 34,114 ", 0.14 ,0
205,JoJo,LDS,9,46,9,24,19.6%,52.2%," 34,575 "," 39,283 "," 4,708 ", 0.14 ,0
206,Mystery Land,LDS,14,167,35,75,21.0%,44.9%," 149,830 "," 170,233 "," 20,403 ", 0.14 ,0
207,Eggham on toast,RTS,8,85,14,47,16.5%,55.3%," 58,440 "," 66,393 "," 7,953 ", 0.14 ,0
208,RB19,LTS,10,132,32,78,24.2%,59.1%," 111,855 "," 127,054 "," 15,199 ", 0.14 ,0
209,Fingers Crossed,RDF,26,279,40,120,14.3%,43.0%," 357,010 "," 405,262 "," 48,252 ", 0.14 ,0
210,Oaklynn Callistemon,LTS,46,489,61,210,12.5%,42.9%," 660,740 "," 750,030 "," 89,290 ", 0.14 ,0
211,Wyatt Earp,LDF,190,2890,404,1207,14.0%,41.8%," 6,434,251 "," 7,300,311 "," 866,060 ", 0.13 ,49
212,Dirty Rose,RTF,18,243,45,97,18.5%,39.9%," 232,150 "," 263,341 "," 31,191 ", 0.13 ,0
213,Pharma Stack,RTF,9,63,6,33,9.5%,52.4%," 35,486 "," 40,248 "," 4,762 ", 0.13 ,0
214,Superstition,RDF,18,224,26,88,11.6%,39.3%," 298,650 "," 338,503 "," 39,853 ", 0.13 ,0
215,Poster Child,RTF,5,45,8,20,17.8%,44.4%," 44,475 "," 50,410 "," 5,935 ", 0.13 ,0
216,Nemesis Sub Terra,RTS,13,22,5,10,22.7%,45.5%," 21,275 "," 24,098 "," 2,823 ", 0.13 ,0
217,Lord Grim,RTF,28,389,49,167,12.6%,42.9%," 658,550 "," 745,839 "," 87,289 ", 0.13 ,0
218,Warrior 1,LTS,8,116,28,59,24.1%,50.9%," 127,220 "," 143,991 "," 16,771 ", 0.13 ,0
219,Back to Back,RDF,70,1011,144,407,14.2%,40.3%," 1,894,034 "," 2,142,767 "," 248,733 ", 0.13 ,15
220,Ak,LDF,35,613,109,262,17.8%,42.7%," 767,948 "," 868,412 "," 100,464 ", 0.13 ,0
221,Celestial Drops,LTS,19,318,63,179,19.8%,56.3%," 398,630 "," 450,335 "," 51,705 ", 0.13 ,0
222,Secret Oath,RDF,100,1964,348,868,17.7%,44.2%," 4,871,455 "," 5,495,986 "," 624,531 ", 0.13 ,29
223,Johnny 99,RTS,7,206,43,123,20.9%,59.7%," 165,165 "," 186,328 "," 21,163 ", 0.13 ,0
224,Bonne King Perle,RTF,16,140,15,53,10.7%,37.9%," 108,637 "," 122,550 "," 13,913 ", 0.13 ,0
225,GameDay Promotions,RDF,87,1276,174,517,13.6%,40.5%," 2,959,072 "," 3,337,564 "," 378,492 ", 0.13 ,18
226,Groot,RTF,8,198,28,84,14.1%,42.4%," 225,785 "," 254,428 "," 28,643 ", 0.13 ,0
227,Supercharged,RTF,5,73,15,38,20.5%,52.1%," 83,085 "," 93,529 "," 10,444 ", 0.13 ,0
228,Prince Pluto,LDS,22,404,79,204,19.6%,50.5%," 308,825 "," 347,508 "," 38,683 ", 0.13 ,0
229,E Street,LDF,5,23,4,15,17.4%,65.2%," 20,695 "," 23,275 "," 2,580 ", 0.12 ,0
230,Bogeyman,LTS,11,56,5,28,8.9%,50.0%," 107,090 "," 120,409 "," 13,319 ", 0.12 ,1
231,Johnny Utah,RDF,147,3455,563,1473,16.3%,42.6%," 12,025,543 "," 13,511,187 "," 1,485,644 ", 0.12 ,149
232,Slako,LDF,22,452,87,224,19.2%,49.6%," 795,780 "," 893,626 "," 97,846 ", 0.12 ,1
233,Monolith,RTS,84,1271,216,579,17.0%,45.6%," 2,896,568 "," 3,252,134 "," 355,566 ", 0.12 ,28
234,Sir Gallop A Lot,RDF,11,79,13,40,16.5%,50.6%," 71,450 "," 80,195 "," 8,745 ", 0.12 ,0
235,Edwin Moses,LDS,7,104,19,53,18.3%,51.0%," 90,925 "," 102,054 "," 11,129 ", 0.12 ,0
236,Lussi Juice ,LDF,253,6804,1020,2842,15.0%,41.8%," 28,108,437 "," 31,544,711 "," 3,436,274 ", 0.12 ,321
237,Lightning Profit,RDS,6,82,16,42,19.5%,51.2%," 71,625 "," 80,379 "," 8,754 ", 0.12 ,0
238,Lussard Swift,LDF,63,1159,174,501,15.0%,43.2%," 2,413,470 "," 2,706,927 "," 293,457 ", 0.12 ,20
239,For Good Measure,LTS,15,163,40,93,24.5%,57.1%," 201,685 "," 225,781 "," 24,096 ", 0.12 ,0
240,Triple Z,RTF,5,65,12,34,18.5%,52.3%," 60,500 "," 67,641 "," 7,141 ", 0.12 ,0
241,Rise To Greatness,LTS,24,165,29,95,17.6%,57.6%," 276,053 "," 308,565 "," 32,512 ", 0.12 ,1
242,Street Thug,LDF,7,120,19,46,15.8%,38.3%," 172,245 "," 192,496 "," 20,251 ", 0.12 ,0
243,A Qua Disappointed,LTS,7,44,8,24,18.2%,54.5%," 52,165 "," 58,289 "," 6,124 ", 0.12 ,0
244,Heyoka,RDF,34,496,77,192,15.5%,38.7%," 759,120 "," 848,084 "," 88,964 ", 0.12 ,2
245,Blackburn,RTS,147,2446,436,1174,17.8%,48.0%," 3,557,275 "," 3,973,691 "," 416,416 ", 0.12 ,9
246,The Fantasist,RTF,79,1398,188,538,13.4%,38.5%," 3,251,266 "," 3,628,829 "," 377,563 ", 0.12 ,28
247,Mugsy,LDF,31,317,50,140,15.8%,44.2%," 628,917 "," 701,315 "," 72,398 ", 0.12 ,3
248,Christenson,#N/A,50,337,45,127,13.4%,37.7%," 682,709 "," 761,243 "," 78,534 ", 0.12 ,11
249,Stylish Stud #9923,#N/A,47,1439,340,877,23.6%,60.9%," 5,650,997 "," 6,299,225 "," 648,228 ", 0.11 ,217
250,Bob Junior,RTF,17,149,21,60,14.1%,40.3%," 201,415 "," 224,498 "," 23,083 ", 0.11 ,1
251,Bertram Cooper,RDF,23,290,48,132,16.6%,45.5%," 451,126 "," 502,613 "," 51,487 ", 0.11 ,0
252,Wisdom Way,LDF,70,827,121,334,14.6%,40.4%," 1,799,670 "," 2,004,925 "," 205,255 ", 0.11 ,7
253,Exoticus,RDF,97,1972,317,864,16.1%,43.8%," 4,773,465 "," 5,315,680 "," 542,215 ", 0.11 ,47
254,Joyrider,LDS,22,297,53,136,17.8%,45.8%," 483,544 "," 537,894 "," 54,350 ", 0.11 ,0
255,Mercyful Fate,RTF,9,124,24,70,19.4%,56.5%," 105,465 "," 117,286 "," 11,821 ", 0.11 ,0
256,Grain Of Sand,RTS,7,107,24,55,22.4%,51.4%," 112,990 "," 125,640 "," 12,650 ", 0.11 ,0
257,Manifest Meadows,RTF,17,333,47,133,14.1%,39.9%," 242,544 "," 269,610 "," 27,066 ", 0.11 ,0
258,Blue Legend,RDF,19,159,24,64,15.1%,40.3%," 296,320 "," 329,350 "," 33,030 ", 0.11 ,0
259,Sprinter Sacre,LDF,92,1593,259,716,16.3%,44.9%," 4,013,225 "," 4,453,739 "," 440,514 ", 0.11 ,24
260,Duppie Dupré,LTS,248,6281,1002,2851,16.0%,45.4%," 18,199,455 "," 20,190,574 "," 1,991,119 ", 0.11 ,195
261,Flocon Ex Machina,RDS,34,536,111,317,20.7%,59.1%," 716,185 "," 794,534 "," 78,349 ", 0.11 ,0
262,Big Fool,RTF,19,88,11,38,12.5%,43.2%," 52,955 "," 58,719 "," 5,764 ", 0.11 ,0
263,Bombastik,RTS,6,43,9,22,20.9%,51.2%," 29,635 "," 32,850 "," 3,215 ", 0.11 ,0
264,Bilbo,LTS,8,84,16,49,19.0%,58.3%," 70,959 "," 78,627 "," 7,668 ", 0.11 ,0
265,Bologna Pony,RTS,11,140,23,68,16.4%,48.6%," 210,870 "," 233,232 "," 22,362 ", 0.11 ,0
266,Haka,LTS,35,251,46,137,18.3%,54.6%," 505,509 "," 558,434 "," 52,925 ", 0.10 ,4
267,Wishing Well,RTF,199,3269,469,1337,14.3%,40.9%," 8,262,021 "," 9,125,392 "," 863,371 ", 0.10 ,61
